Feature,Gain,Cover,Frequency
month_rbf_1,2.89558626935691e-07,3.68921534033597e-09,2.28076177443266e-05
wday_c3,2.78487388626979e-07,6.54879852279734e-09,2.28076177443266e-05
month_s1,2.69402628554072e-07,8.73761527974308e-09,3.42114266164899e-05
month_c3,2.29314465675935e-07,2.70071745010241e-09,2.28076177443266e-05
month_rbf_5,1.94416097299825e-07,5.1726682456079e-07,1.14038088721633e-05
religious_event,1.87022919868457e-07,1.13500739896461e-08,1.14038088721633e-05
month_s3,1.81893033376908e-07,1.02380138631333e-08,2.28076177443266e-05
snap_TX,1.50342359422292e-07,1.69456781182896e-09,1.14038088721633e-05
month_rbf_4,1.27675493985781e-07,9.88497890233561e-10,1.14038088721633e-05
month_c1,1.09968489877808e-07,1.39978361956288e-08,1.14038088721633e-05
